id,model,patrimony,description,created,modified,assetType_id,equipment_id,manufacturer_id,criticalness_id
63,AR CONDICIONADO - Ar condicionado,,AR CONDICIONADO - Ar condicionado - MOENDA,2017-01-01 00:00:00.000062,2017-01-01 00:00:00.000062,11,122,1,1
64,PAINEL DE CONTROLE - Painel,,PAINEL DE CONTROLE - Painel - MOENDA,2017-01-01 00:00:00.000063,2017-01-01 00:00:00.000063,25,124,1,1
65,VENTILADORES - Ventiladores do painel,,VENTILADORES - Ventiladores do painel - MOENDA,2017-01-01 00:00:00.000064,2017-01-01 00:00:00.000064,14,124,1,1
66,ILUNINAÇÃO - Iluminação do painel,,ILUNINAÇÃO - Iluminação do painel - MOENDA,2017-01-01 00:00:00.000065,2017-01-01 00:00:00.000065,21,124,1,1
67,NOBREAK - NOBREAK,,NOBREAK - NOBREAK - MOENDA,2017-01-01 00:00:00.000066,2017-01-01 00:00:00.000066,22,124,1,1
68,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº1,,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº1 - MOENDA,2017-01-01 00:00:00.000067,2017-01-01 00:00:00.000067,19,160,1,1
69,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº2,,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº2 - MOENDA,2017-01-01 00:00:00.000068,2017-01-01 00:00:00.000068,19,160,1,1
70,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº3,,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº3 - MOENDA,2017-01-01 00:00:00.000069,2017-01-01 00:00:00.000069,19,160,1,1
71,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº4,,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº4 - MOENDA,2017-01-01 00:00:00.000070,2017-01-01 00:00:00.000070,19,160,1,1
72,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº5,,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº5 - MOENDA,2017-01-01 00:00:00.000071,2017-01-01 00:00:00.000071,19,160,1,1
73,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº6,,SENSOR - Sensor capacitivo do nivel do donely do 1º terno de moenda sensor nº6 - MOENDA,2017-01-01 00:00:00.000072,2017-01-01 00:00:00.000072,19,160,1,1
74,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº1,,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº1 - MOENDA,2017-01-01 00:00:00.000073,2017-01-01 00:00:00.000073,19,160,1,1
75,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº2,,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº2 - MOENDA,2017-01-01 00:00:00.000074,2017-01-01 00:00:00.000074,19,160,1,1
76,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº3,,SENSOR - Sensor capacitivo do nivel do 2º terno de moenda sensor nº3 - MOENDA,2017-01-01 00:00:00.000075,2017-01-01 00:00:00.000075,19,160,1,1
